name
Пермский филиал Современной гуманитарной академии
Самарская академия государственного и муниципального управления
Калужский филиал Современной гуманитарной академии
Кировский филиал Московского университета государственного управления
Военно-технический университет при Федеральном агентстве специального строительства
Сколковский институт науки и технологий
Сибирский государственный университет водного транспорта
Санкт-Петербургский государственный институт психологии и социальной работы
Балаковский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации
Московский институт современного академического образования
Национальный институт бизнеса
Московский государственный университет геодезии и картографии
Старооскольский технологический институт им. А.А. Угарова (филиал) Национального исследовательского технологического университета «МИСиС»
Московская государственная академия хореографии
Московский государственный институт музыки имени А.Г. Шнитке
Новосибирский национальный исследовательский государственный университет
Академия сферы социальных отношений
Новосибирский технологический институт Российского государственного университета им. А.Н. Косыгина
Сафоновский филиал Московского политехнического университета
Новоуральский филиал Современной гуманитарной академии
Алтайский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации
Санкт-Петербургская государственная художественно-промышленная академия имени А. Л. Штиглица
Белгородский филиал Московского государственного университета экономики
Северо-Западный институт управления
Камышинский технологический институт (филиал) Волгоградского государственного технического университета
Московский государственный институт индустрии туризма имени Ю.А. Сенкевича
Южно-Сахалинский институт коммерции и предпринимательства
Кировский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации
Новороссийский филиал Краснодарского университета Министерства внутренних дел Российской Федерации
Филиал Российского государственного университета туризма и сервиса в г. Сочи
Саранский кооперативный институт (филиал) Российского университета кооперации
Сочинский институт курортной рекреации и гостеприимства - филиал Российской международной академии туризма
Калининградский филиал Евразийского открытого института
Филиал Всероссийского заочного финансово-экономического института в г. Пензе
Московский открытый юридический институт
Калужский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации
Голицынский пограничный институт Федеральной службы безопасности Российской Федерации
Институт туризма и гостеприимства (г. Москва) (филиал) Российского государственного университета туризма и сервиса
Красноярский институт экономики - филиал Санкт-Петербургского университета управления и экономики
Санкт-Петербургский медико-технический институт
Биробиджанский филиал Современной гуманитарной академии
Находкинский филиал Современной гуманитарной академии
Уральский финансово-юридический институт
Московская государственная академия физической культуры
Филиал Кубанского государственного университета в г. Новороссийске
филиал Московского государственного индустриального университета в г. Кинешме
Казанский юридический институт МВД РФ
филиал Московского государственного университета технологий и управления имени К.Г. Разумовского в г. Калининграде
Московская гуманитарно-техническая академия
Смоленский гуманитарный университет
Бугурусланский филиал Самарского института управления
Томский институт бизнеса
Филиал Международного института экономики и права в городе Владивостоке
Филиал Армавирского лингвистического социального института в г. Усть-Лабинске
Ростовский социально-экономический институт
Волгоградский институт экономики
Екатеринбургская академия современного искусства
Экономико-правовой институт
Филиал Московского государственного индустриального университета
Балабановский филиал Московского педагогического государственного университета
Уральская государственная консерватория (академия) имени М. П. Мусоргского
Лесосибирский филиал Современной гуманитарной академии
Институт Мировой экономики и информатизации
Иркутский институт международного туризма
Железногорский филиал Курского института менеджмента
Сахалинское высшее морское училище им. Т.Б. Гуженко филиал МГУ им.адм. Г.И. Невельского
Азовский филиал Евразийского открытого института
Институт управления (г. Набережные Челны)
Филиал Уфимского государственного нефтяного технического университета в г. Стерлитамаке
Новороссийский филиал Московского гуманитарно-экономического института
Воронежский институт Федеральной службы исполнения наказаний
Оренбургский институт бизнеса и управления
Волгоградский филиал Московского государственного университета путей сообщения
Нижегородский филиал Академии труда и социальных отношений
Тверской филиал Московского университета Министерства внутренних дел Российской Федерации
Филиал Московской государственной академии коммунального хозяйства и строительства в г. Егорьевске
